Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
[BLASTED]	Ahyacinthus02022-RA	Potassium voltage-gated channel protein Shaker	996	10	0	70.04								
[BLASTED]	Ahyacinthus02020-RA	uncharacterized protein LOC114960690 isoform X2	366	8	1.84E-61	86.9								
[BLASTED]	Ahyacinthus02030-RA	syntenin-1-like	1829	10	5.72E-167	80.96								
[BLASTED]	Ahyacinthus02027-RA	voltage-dependent calcium channel subunit alpha-2/delta-1-like	738	10	3.36E-175	94.82								
[BLASTED]	Ahyacinthus02028-RA	voltage-dependent calcium channel subunit alpha-2/delta-1-like	330	10	1.87E-61	82.05								
[BLASTED]	Ahyacinthus02031-RA	Chromatin modification-related protein YNG2	1173	10	0	64.46								
[BLASTED]	Ahyacinthus02032-RA	eukaryotic translation initiation factor 3 subunit E	1831	10	0	93.08								
[BLASTED]	Ahyacinthus02033-RA	uncharacterized protein LOC114960956 isoform X2	1500	10	0	87.71								
[BLASTED]	Ahyacinthus02034-RA	peroxidasin homolog	346	5	1.19E-37	75.05								
[BLASTED]	Ahyacinthus02035-RA	peroxidasin homolog	2055	10	0	86.01								
[BLASTED]	Ahyacinthus02037-RA	RNA exonuclease 4	2466	10	0	74.71								
[BLASTED]	Ahyacinthus02039-RA	disks large-associated protein 5-like	3927	10	0	83.98								
[BLASTED]	Ahyacinthus02042-RA	ankyrin repeat domain-containing protein 66-like	675	10	1.53E-122	87.62								
[BLASTED]	Ahyacinthus02043-RA	cytochrome P450 1A1-like	918	10	0	84.3								
[BLASTED]	Ahyacinthus02044-RA	probable ATP-dependent RNA helicase DDX43	2219	10	0	73.45								
[BLASTED]	Ahyacinthus02038-RA	inositol monophosphatase 3-like	1068	10	0	82.31								
[BLASTED]	Ahyacinthus02040-RA	E3 ubiquitin-protein ligase MIB1-like	277	10	2.26E-43	91.41								
[BLASTED]	Ahyacinthus02041-RA	E3 ubiquitin-protein ligase MIB1-like	2750	10	0	89.52								
[BLASTED]	Ahyacinthus02045-RA	tropomyosin alpha-4 chain-like	768	10	1.61E-161	67.53								
[BLASTED]	Ahyacinthus02046-RA	Tropomyosin beta chain	1231	10	2.35E-164	78.69								
[BLASTED]	Ahyacinthus02047-RA	serine protease hepsin-like isoform X1	1399	10	0	69.82								
[BLASTED]	Ahyacinthus02048-RA	GDP-D-glucose phosphorylase 1-like	1352	10	0	71.74								
[BLASTED]	Ahyacinthus02049-RA	GDP-D-glucose phosphorylase 1-like	1155	10	0	76.72								
[BLASTED]	Ahyacinthus02050-RA	MAM and LDL-receptor class A domain-containing protein 1-like	2394	10	0	66.62								
[BLASTED]	Ahyacinthus02052-RA	MAM and LDL-receptor class A domain-containing protein 1-like	2706	10	0	71.95								
[BLASTED]	Ahyacinthus02053-RA	hypothetical protein AWC38_SpisGene16166	276	1	1.29E-10	55.29								
[BLASTED]	Ahyacinthus02051-RA	MAM and LDL-receptor class A domain-containing protein 1-like isoform X1	182	2	1.34E-04	100								
[BLASTED]	Ahyacinthus02054-RA	Collagen alpha-5(VI) chain	606	9	4.41E-98	62.11								
[BLASTED]	Ahyacinthus02056-RA	Collagen alpha-5(VI) chain	14781	10	0	68.36								
[BLASTED]	Ahyacinthus02057-RA	uncharacterized protein LOC114960368	20349	10	0	76.54								
[BLASTED]	Ahyacinthus02058-RA	Collagen alpha-5(VI) chain	7605	10	0	76.64								
[BLASTED]	Ahyacinthus02059-RA	Collagen alpha-5(VI) chain	2859	10	0	72.56								
[BLASTED]	Ahyacinthus02060-RA	adhesion G-protein coupled receptor D1-like	1245	10	0	74.13								
[BLASTED]	Ahyacinthus02069-RA	predicted protein	699	10	1.92E-159	72.32								
[BLASTED]	Ahyacinthus02061-RA	PREDICTED: uncharacterized protein LOC107344847	978	5	0	67.1								
[BLASTED]	Ahyacinthus02062-RA	PREDICTED: uncharacterized protein LOC107344847	1422	5	0	59.88								
[BLASTED]	Ahyacinthus02063-RA	PREDICTED: uncharacterized protein LOC107344847	1182	5	0	59.65								
[BLASTED]	Ahyacinthus02065-RA	elongation factor Tu-like	1143	10	0	88.94								
[BLASTED]	Ahyacinthus02066-RA	elongation factor Tu-like	195	4	1.30E-15	82.81								
[BLASTED]	Ahyacinthus02073-RA	inosine-uridine preferring nucleoside hydrolase-like	1026	10	0	81.81								
[BLASTED]	Ahyacinthus02077-RA	BRCA1-associated protein-like	1800	10	0	75.7								
[BLASTED]	Ahyacinthus02079-RA	Transmembrane emp24 domain-containing protein	1613	10	3.07E-138	90.47								
[BLASTED]	Ahyacinthus02067-RA	protocadherin Fat 4-like	1347	10	0	71.5								
[BLASTED]	Ahyacinthus02068-RA	protocadherin Fat 4-like	6558	10	0	79.74								
[BLASTED]	Ahyacinthus02070-RA	neurofibromin-like	1293	10	0	72.23								
[BLASTED]	Ahyacinthus02071-RA	neurofibromin-like	5460	10	0	74.39								
[BLASTED]	Ahyacinthus02072-RA	predicted protein	754	8	2.43E-95	55.33								
[BLASTED]	Ahyacinthus02074-RA	rho-related protein racA-like	1837	10	0	78.05								
[BLASTED]	Ahyacinthus02075-RA	inosine-uridine preferring nucleoside hydrolase-like	974	10	0	83.24								
[BLASTED]	Ahyacinthus02076-RA	"ADP-ribose pyrophosphatase, mitochondrial-like"	1095	10	0	82.36								
[BLASTED]	Ahyacinthus02078-RA	pre-mRNA-processing-splicing factor 8	6451	10	0	87.08								
[BLASTED]	Ahyacinthus02081-RA	notchless protein homolog 1	1323	10	0	78.73								
[BLASTED]	Ahyacinthus02087-RA	"probable splicing factor, arginine/serine-rich 6 isoform X1"	402	10	5.85E-40	94.94								
[BLASTED]	Ahyacinthus02091-RA	proline-rich transmembrane protein 4-like	1886	10	0	76.54								
[BLASTED]	Ahyacinthus02080-RA	"39S ribosomal protein L18, mitochondrial-like"	802	10	4.01E-164	76.1								
[BLASTED]	Ahyacinthus02082-RA	sodium- and chloride-dependent GABA transporter 1-like	1665	10	0	84.79								
[BLASTED]	Ahyacinthus02083-RA	serine/threonine-protein kinase 36-like	411	10	5.02E-86	94.66								
[BLASTED]	Ahyacinthus02084-RA	serine/threonine-protein kinase 36-like isoform X1	2365	10	0	73.85								
[BLASTED]	Ahyacinthus02085-RA	"probable splicing factor, arginine/serine-rich 6"	804	10	2.08E-38	94.35								
[BLASTED]	Ahyacinthus02086-RA	endoplasmic reticulum resident protein 29-like	1206	10	9.16E-150	87.38								
[BLASTED]	Ahyacinthus02090-RA	Solute carrier organic anion transporter family member 4A1	1977	6	0	63.93								
[BLASTED]	Ahyacinthus02088-RA	solute carrier organic anion transporter family member 4A1-like	690	10	1.16E-133	64.15								
[BLASTED]	Ahyacinthus02089-RA	T-box transcription factor TBX20-like	558	10	3.18E-123	71.46								
[BLASTED]	Ahyacinthus02092-RA	glutamic acid-rich protein-like	864	6	3.15E-91	85.68								
[BLASTED]	Ahyacinthus02094-RA	adenylyltransferase and sulfurtransferase UBA4-like	684	10	6.00E-134	74.24								
[BLASTED]	Ahyacinthus02095-RA	predicted protein	572	10	1.17E-121	74.83								
[BLASTED]	Ahyacinthus02097-RA	pyridoxal 5'-phosphate synthase subunit SNZERR-like	1248	10	0	78.81								
[BLASTED]	Ahyacinthus02099-RA	GAS2-like protein 1	597	10	1.33E-135	88.57								
[BLASTED]	Ahyacinthus02101-RA	GAS2-like protein 1	2345	8	0	68.2								
[BLASTED]	Ahyacinthus02104-RA	uncharacterized protein LOC114958149	544	10	3.91E-52	75.79								
[BLASTED]	Ahyacinthus02093-RA	protein-L-isoaspartate(D-aspartate) O-methyltransferase-like	681	10	3.25E-130	71.36								
[BLASTED]	Ahyacinthus02096-RA	probable pyridoxal 5'-phosphate synthase subunit PDX2	1200	10	3.18E-177	81.22								
[BLASTED]	Ahyacinthus02098-RA	caspase-3-like isoform X1	1311	10	0	78.27								
[BLASTED]	Ahyacinthus02102-RA	septin-2-like isoform X1	1781	10	0	86.52								
[BLASTED]	Ahyacinthus02103-RA	Transposon Tf2-6 polyprotein	1954	10	9.18E-103	54.64								
[BLASTED]	Ahyacinthus02100-RA	GAS2-like protein 1	321	10	6.60E-29	97.18								
[BLASTED]	Ahyacinthus02105-RA	uncharacterized protein LOC114959868	1228	10	1.85E-76	76.56								
[BLASTED]	Ahyacinthus02106-RA	LIM domain kinase 1-like isoform X2	1996	10	0	69.79								
[BLASTED]	Ahyacinthus02107-RA	CD151 antigen-like	956	10	7.27E-171	76.85								
[BLASTED]	Ahyacinthus02108-RA	trichoplein keratin filament-binding protein-like	1356	10	7.03E-164	77.59								
[BLASTED]	Ahyacinthus02112-RA	max dimerization protein 3-like	1664	10	0	75.84								
[BLASTED]	Ahyacinthus02110-RA	vacuolar protein sorting-associated protein 33A-like	1607	10	0	75.49								
[BLASTED]	Ahyacinthus02111-RA	transmembrane protein 248-like	498	10	6.50E-88	67.01								
[BLASTED]	Ahyacinthus02109-RA	gastric intrinsic factor-like	1262	10	0	66.82								
[BLASTED]	Ahyacinthus02113-RA	MORC family CW-type zinc finger protein 2A-like	3212	10	0	76.96								
[BLASTED]	Ahyacinthus02115-RA	general transcription factor IIH subunit 3-like isoform X1	877	10	2.52E-161	78.17								
[BLASTED]	Ahyacinthus02120-RA	NFATC2-interacting protein-like	1098	10	2.66E-174	71.84								
[BLASTED]	Ahyacinthus02114-RA	probable E3 ubiquitin-protein ligase HECTD4	12142	10	0	73.27								
[BLASTED]	Ahyacinthus02116-RA	mitogen-activated protein kinase 7-like	195	7	1.60E-18	94.32								
[BLASTED]	Ahyacinthus02117-RA	mitogen-activated protein kinase 7-like	1158	5	1.40E-179	82.12								
[BLASTED]	Ahyacinthus02118-RA	mitogen-activated protein kinase 7-like	765	10	1.24E-83	89.78								
[BLASTED]	Ahyacinthus02119-RA	vitamin K epoxide reductase complex subunit 1-like	1054	10	1.12E-83	77.34								
[BLASTED]	Ahyacinthus02124-RA	serine/arginine repetitive matrix protein 1-like	1774	10	0	72.57								
[BLASTED]	Ahyacinthus02126-RA	putative RNA-binding protein EEED8.10 isoform X1	2040	10	0	87.12								
[BLASTED]	Ahyacinthus02128-RA	E3 ubiquitin-protein ligase RNF25-like isoform X1	771	10	2.75E-99	59.3								
[BLASTED]	Ahyacinthus02121-RA	ectonucleotide pyrophosphatase/phosphodiesterase family member 5	522	10	1.58E-120	80.17								
[BLASTED]	Ahyacinthus02122-RA	heterogeneous nuclear ribonucleoprotein L-like isoform X2	768	10	1.38E-98	57.99								
[BLASTED]	Ahyacinthus02123-RA	heterogeneous nuclear ribonucleoprotein L-like isoform X1	447	10	2.04E-29	58.11								
[BLASTED]	Ahyacinthus02125-RA	ubiquitin-conjugating enzyme E2 G1-like	585	10	4.99E-110	94.44								
[BLASTED]	Ahyacinthus02129-RA	carbonic anhydrase 2-like isoform X3	849	10	2.47E-175	69.12								
[BLASTED]	Ahyacinthus02130-RA	carbonic anhydrase 2-like isoform X3	921	10	0	80.3								
[BLASTED]	Ahyacinthus02127-RA	Potassium channel subfamily K member 9	1038	10	0	79.42								
[BLASTED]	Ahyacinthus02135-RA	predicted protein	258	10	8.68E-43	65.94								
[BLASTED]	Ahyacinthus02138-RA	predicted protein	934	10	0	79.51								
[BLASTED]	Ahyacinthus02131-RA	carbonic anhydrase-like	930	10	0	75.53								
[BLASTED]	Ahyacinthus02132-RA	carbonic anhydrase-like	921	10	2.67E-162	74.1								
[BLASTED]	Ahyacinthus02133-RA	carbonic anhydrase-like	1033	10	0	73.6								
[BLASTED]	Ahyacinthus02134-RA	carbonic anhydrase-like	891	10	0	74.6								
[BLASTED]	Ahyacinthus02137-RA	carbonic anhydrase-like	990	10	0	68.86								
[BLASTED]	Ahyacinthus02136-RA	PREDICTED: uncharacterized protein LOC107339042	321	1	1.49E-28	91.38								
[BLASTED]	Ahyacinthus02143-RA	bis(5'-adenosyl)-triphosphatase-like	462	10	5.68E-111	85.88								
[BLASTED]	Ahyacinthus02140-RA	active breakpoint cluster region-related protein-like	4242	10	0	72.95								
[BLASTED]	Ahyacinthus02141-RA	serine/threonine-protein kinase TAO1-like isoform X3	2670	10	0	86.45								
[BLASTED]	Ahyacinthus02142-RA	coiled-coil domain-containing protein 86-like	285	10	7.10E-29	80.86								
[BLASTED]	Ahyacinthus02144-RA	PREDICTED: uncharacterized protein YMR196W-like	145	2	3.95E-06	97.37								
[BLASTED]	Ahyacinthus02145-RA	predicted protein	1290	10	0	64.02								
[BLASTED]	Ahyacinthus02139-RA	adhesion G-protein coupled receptor D1-like	312	10	1.13E-56	84.67								
[BLASTED]	Ahyacinthus02148-RA	beta-adrenergic receptor kinase 2-like	1848	10	0	86.01								
[BLASTED]	Ahyacinthus02152-RA	Hermansky-Pudlak syndrome 4 protein	2583	10	0	80.81								
[BLASTED]	Ahyacinthus02153-RA	Hermansky-Pudlak syndrome 4 protein	291	10	6.08E-62	84.3								
[BLASTED]	Ahyacinthus02154-RA	"phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform-like"	1253	10	0	78.02								
[BLASTED]	Ahyacinthus02155-RA	AFG1-like ATPase	1725	10	0	76.7								
[BLASTED]	Ahyacinthus02146-RA	inositol polyphosphate 5-phosphatase K-like isoform X2	2555	10	0	82.42								
[BLASTED]	Ahyacinthus02147-RA	beta-glucuronidase-like isoform X1	1950	10	0	80.63								
[BLASTED]	Ahyacinthus02151-RA	uncharacterized protein LOC114960219	322	2	1.67E-32	100								
[BLASTED]	Ahyacinthus02149-RA	homeobox protein BarH-like 2	759	10	0	75.17								
[BLASTED]	Ahyacinthus02150-RA	homeobox protein BarH-like 1	642	10	2.03E-145	76.08								
[BLASTED]	Ahyacinthus02159-RA	Cell cycle checkpoint control protein RAD9A	1895	10	0	76.8								
[BLASTED]	Ahyacinthus02161-RA	predicted protein	2526	10	0	85.3								
[BLASTED]	Ahyacinthus02156-RA	T-box transcription factor TBX10-like isoform X1	1629	10	0	79.77								
[BLASTED]	Ahyacinthus02158-RA	uncharacterized protein LOC114960135	1374	9	0	72.5								
[BLASTED]	Ahyacinthus02160-RA	protein HGH1 homolog	358	10	7.56E-73	86.23								
[BLASTED]	Ahyacinthus02157-RA	T-box transcription factor TBX10-like isoform X2	1197	10	0	85.04								
[BLASTED]	Ahyacinthus02165-RA	nucleoporin GLE1-like	765	10	1.12E-128	83.84								
[BLASTED]	Ahyacinthus02168-RA	Cell cycle checkpoint protein RAD1	1272	10	9.60E-174	81.62								
[BLASTED]	Ahyacinthus02171-RA	probable serine/threonine-protein kinase kinX isoform X1	4369	10	0	76.42								
[BLASTED]	Ahyacinthus02162-RA	calcineurin-binding protein cabin-1-like	405	10	2.73E-51	72.81								
[BLASTED]	Ahyacinthus02163-RA	calcineurin-binding protein cabin-1-like	372	3	5.11E-69	97.53								
[BLASTED]	Ahyacinthus02164-RA	calcineurin-binding protein cabin-1-like	645	10	4.85E-130	73.02								
[BLASTED]	Ahyacinthus02166-RA	calcineurin-binding protein cabin-1-like	1443	10	0	68.57								
[BLASTED]	Ahyacinthus02167-RA	calcineurin-binding protein cabin-1-like	720	10	5.26E-107	79.23								
[BLASTED]	Ahyacinthus02169-RA	protein spinster homolog 1-like	720	10	4.60E-148	76.99								
[BLASTED]	Ahyacinthus02170-RA	protein spinster homolog 1-like	710	10	8.65E-148	79.9								
[BLASTED]	Ahyacinthus02172-RA	ribosomal protein S6 kinase beta-1-like isoform X2	3197	10	0	85.1								
[BLASTED]	Ahyacinthus02173-RA	"beta-1,3-glucosyltransferase isoform X1"	1368	10	0	72.76								
[BLASTED]	Ahyacinthus02177-RA	lissencephaly-1 homolog	2412	10	0	92.89								
[BLASTED]	Ahyacinthus02179-RA	cilia- and flagella-associated protein 251-like	2987	10	0	84.2								
[BLASTED]	Ahyacinthus02174-RA	uncharacterized protein LOC114958116 isoform X1	788	10	0	95.48								
[BLASTED]	Ahyacinthus02175-RA	heme-binding protein 2-like	639	10	3.06E-157	78.58								
[BLASTED]	Ahyacinthus02176-RA	heme-binding protein 2-like	639	10	3.45E-155	77.13								
[BLASTED]	Ahyacinthus02184-RA	DNA repair protein XRCC1	1428	10	0	66.72								
[BLASTED]	Ahyacinthus02187-RA	protein HGH1 homolog	1123	10	0	82.58								
[BLASTED]	Ahyacinthus02180-RA	kinesin-like protein KIF12	2502	10	0	74.93								
[BLASTED]	Ahyacinthus02181-RA	golgin subfamily A member 5-like	750	10	3.09E-143	59.99								
[BLASTED]	Ahyacinthus02182-RA	uncharacterized protein LOC114958646	1362	10	0	67.81								
[BLASTED]	Ahyacinthus02183-RA	poly(A)-specific ribonuclease PNLDC1-like	1775	10	0	64.81								
[BLASTED]	Ahyacinthus02186-RA	predicted protein	981	10	0	73.51								
[BLASTED]	Ahyacinthus02185-RA	putative uncharacterized protein DDB_G0282129	753	4	1.45E-138	76.47								
[BLASTED]	Ahyacinthus02189-RA	PREDICTED: uncharacterized protein LOC107358496	1302	9	0	60.91								
[BLASTED]	Ahyacinthus02191-RA	P2X purinoceptor 4-like	1377	10	0	81.2								
[BLASTED]	Ahyacinthus02192-RA	breast carcinoma-amplified sequence 3 homolog	2523	10	0	82.1								
[BLASTED]	Ahyacinthus02193-RA	N-acylglucosamine 2-epimerase-like	1185	10	0	81.96								
[BLASTED]	Ahyacinthus02198-RA	"3-methyl-2-oxobutanoate dehydrogenase [lipoamide] kinase, mitochondrial-like"	1519	10	0	83.41								
[BLASTED]	Ahyacinthus02199-RA	PREDICTED: uncharacterized protein LOC107358503	969	10	1.16E-173	74.83								
[BLASTED]	Ahyacinthus02188-RA	synaptic vesicle 2-related protein-like isoform X2	2059	10	5.36E-52	80.8								
[BLASTED]	Ahyacinthus02190-RA	uncharacterized protein LOC114960267	2355	10	0	75.13								
[BLASTED]	Ahyacinthus02194-RA	"28S ribosomal protein S23, mitochondrial-like"	1110	10	1.87E-75	60.2								
[BLASTED]	Ahyacinthus02195-RA	peroxisomal sarcosine oxidase-like	1053	10	0	65.41								
[BLASTED]	Ahyacinthus02196-RA	intraflagellar transport protein 20 homolog	1496	10	7.06E-67	93.18								
[BLASTED]	Ahyacinthus02197-RA	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3-like	983	10	0	91.67								
[BLASTED]	Ahyacinthus02200-RA	TNF receptor-associated factor 4-like	1539	10	0	88.35								
[BLASTED]	Ahyacinthus02201-RA	TNF receptor-associated factor 4-like	1835	10	0	73.73								
[BLASTED]	Ahyacinthus02203-RA	peroxisomal multifunctional enzyme type 2-like	1878	10	0	79.58								
[BLASTED]	Ahyacinthus02202-RA	peroxisomal acyl-coenzyme A oxidase 3-like	1655	10	0	59.82								
[BLASTED]	Ahyacinthus02204-RA	FK506-binding protein 5-like	2577	10	0	67.67								
[BLASTED]	Ahyacinthus02205-RA	unconventional myosin-Ic-like isoform X1	2697	10	0	78.96								
[BLASTED]	Ahyacinthus02206-RA	HEAT repeat-containing protein 6-like	3120	10	0	73.38								
[BLASTED]	Ahyacinthus02212-RA	PHD finger protein 12-like isoform X1	2804	10	0	83.33								
[BLASTED]	Ahyacinthus02209-RA	diphosphoinositol polyphosphate phosphohydrolase 1-like	711	10	5.45E-98	79.7								
[BLASTED]	Ahyacinthus02211-RA	L-serine dehydratase/L-threonine deaminase-like	755	10	1.00E-75	81.98								
[BLASTED]	Ahyacinthus02208-RA	HEAT repeat-containing protein 6-like	489	10	7.80E-65	78.06								
[BLASTED]	Ahyacinthus02210-RA	uncharacterized protein LOC114960802	447	6	1.93E-80	66.63								
[BLASTED]	Ahyacinthus02207-RA	HEAT repeat-containing protein 6-like	354	10	3.23E-50	59.55								
[BLASTED]	Ahyacinthus02216-RA	probable E3 ubiquitin-protein ligase DTX2 isoform X2	1272	10	0	67.5								
[BLASTED]	Ahyacinthus02218-RA	"dynein heavy chain 10, axonemal-like"	12645	10	0	83.66								
[BLASTED]	Ahyacinthus02213-RA	protein unc-119 homolog B-like	1106	10	9.32E-147	89.79								
[BLASTED]	Ahyacinthus02214-RA	pre-mRNA-processing factor 19-like	1675	10	0	86.62								
[BLASTED]	Ahyacinthus02215-RA	Coiled-coil domain-containing protein 92	1399	10	0	79.11								
[BLASTED]	Ahyacinthus02217-RA	D-amino-acid oxidase-like	1421	10	0	79.38								
[BLASTED]	Ahyacinthus02221-RA	probable peptide/nitrate transporter At3g43790	1218	10	0	68.17								
[BLASTED]	Ahyacinthus02222-RA	ran-specific GTPase-activating protein-like	760	10	2.05E-119	82.53								
[BLASTED]	Ahyacinthus02225-RA	predicted protein	1484	10	2.04E-115	83.28								
[BLASTED]	Ahyacinthus02219-RA	"nitric oxide synthase, brain isoform X1"	606	10	3.65E-119	67.86								
[BLASTED]	Ahyacinthus02220-RA	"nitric oxide synthase, brain-like isoform X3"	3627	10	0	66.01								
[BLASTED]	Ahyacinthus02223-RA	developmentally-regulated GTP-binding protein 1-like isoform X2	1292	10	0	88.9								
[BLASTED]	Ahyacinthus02224-RA	EF-hand calcium-binding domain-containing protein 5-like	3644	10	0	78.65								
[BLASTED]	Ahyacinthus02226-RA	Fanconi anemia group J protein homolog	3813	10	0	67.86								
[BLASTED]	Ahyacinthus02232-RA	uncharacterized protein LOC122963312	597	1	4.34E-05	92.31								
[BLASTED]	Ahyacinthus02227-RA	PREDICTED: uncharacterized protein LOC107341514	975	8	0	65.64								
[BLASTED]	Ahyacinthus02228-RA	PREDICTED: uncharacterized protein LOC107341513	999	8	0	67.04								
[BLASTED]	Ahyacinthus02229-RA	T-box transcription factor TBX5-A-like isoform X2	1711	10	0	86								
[BLASTED]	Ahyacinthus02230-RA	T-box transcription factor TBX3-like	828	10	1.65E-165	75.29								
[BLASTED]	Ahyacinthus02239-RA	predicted protein	1736	10	0	67								
[BLASTED]	Ahyacinthus02240-RA	rasGAP-activating-like protein 1 isoform X1	2699	10	0	85.16								
[BLASTED]	Ahyacinthus02233-RA	protein retinal degeneration B-like	4293	10	0	77.82								
[BLASTED]	Ahyacinthus02235-RA	P2X purinoceptor 4-like	1549	10	0	70.46								
[BLASTED]	Ahyacinthus02236-RA	oxysterol-binding protein 1-like isoform X1	2472	10	0	87.53								
[BLASTED]	Ahyacinthus02237-RA	secretory immunoglobulin A-binding protein EsiB-like isoform X4	337	10	7.57E-25	93.34								
[BLASTED]	Ahyacinthus02238-RA	secretory immunoglobulin A-binding protein EsiB-like isoform X1	383	10	1.37E-83	92.09								
[BLASTED]	Ahyacinthus02241-RA	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-like	1320	10	0	89.16								
[BLASTED]	Ahyacinthus02234-RA	ras-like GTP-binding protein RYL1	552	10	1.66E-97	57.62								
[BLASTED]	Ahyacinthus02246-RA	RNA-binding protein FUS-like isoform X1	1132	10	1.18E-61	68.31								
[BLASTED]	Ahyacinthus02248-RA	vacuolar protein sorting-associated protein 29	1318	10	1.01E-92	77.2								
[BLASTED]	Ahyacinthus02251-RA	mitochondrial import inner membrane translocase subunit Tim22-like	586	10	2.48E-108	92.36								
[BLASTED]	Ahyacinthus02242-RA	bicaudal D-related protein homolog	2124	10	0	77.34								
[BLASTED]	Ahyacinthus02243-RA	thioredoxin-like protein 4A	429	10	6.38E-105	97.11								
[BLASTED]	Ahyacinthus02244-RA	nuclear cap-binding protein subunit 3-like	1050	10	6.06E-177	69.15								
[BLASTED]	Ahyacinthus02245-RA	E3 ubiquitin-protein ligase RNF34-like	1084	10	0	78.64								
[BLASTED]	Ahyacinthus02247-RA	sin3 histone deacetylase corepressor complex component SDS3-like	732	10	2.18E-102	78.69								
[BLASTED]	Ahyacinthus02249-RA	derlin-2-like	566	10	6.14E-110	84.87								
[BLASTED]	Ahyacinthus02250-RA	derlin-2-like	184	10	1.04E-33	94.94								
[BLASTED]	Ahyacinthus02252-RA	transmembrane protein 246-like	1245	10	0	77.22								
[BLASTED]	Ahyacinthus02253-RA	SRR1-like protein	2079	10	1.12E-79	79.14								
[BLASTED]	Ahyacinthus02254-RA	dCTP pyrophosphatase 1-like	543	10	1.46E-111	87.28								
[BLASTED]	Ahyacinthus02255-RA	predicted protein	536	2	1.74E-11	81.34								
[BLASTED]	Ahyacinthus02256-RA	structure-specific endonuclease subunit slx1-like	738	10	1.24E-171	89.7								
[BLASTED]	Ahyacinthus02258-RA	transmembrane protein 17-like isoform X1	597	10	3.19E-122	94.04								
[BLASTED]	Ahyacinthus02259-RA	tektin-1-like	803	10	4.29E-178	89.4								
[BLASTED]	Ahyacinthus02260-RA	ras-related protein Rab-24-like	222	10	1.38E-36	70.68								
[BLASTED]	Ahyacinthus02261-RA	golgin subfamily A member 3-like	4811	10	0	82.27								
[BLASTED]	Ahyacinthus02263-RA	galactoside 3(4)-L-fucosyltransferase-like	1134	10	0	87.28								
[BLASTED]	Ahyacinthus02257-RA	NADH-ubiquinone oxidoreductase subunit 8-like	1235	10	2.42E-60	78.34								
[BLASTED]	Ahyacinthus02262-RA	galactoside 3(4)-L-fucosyltransferase-like	1158	10	0	86.13								
[BLASTED]	Ahyacinthus02264-RA	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3-like	900	10	0	91.2								
[BLASTED]	Ahyacinthus02265-RA	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5-like	1230	10	0	87.71								
[BLASTED]	Ahyacinthus02266-RA	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5-like	1236	10	0	87.51								
[BLASTED]	Ahyacinthus02267-RA	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6-like	1218	10	0	84.81								
[BLASTED]	Ahyacinthus02268-RA	uncharacterized protein LOC122959813	393	10	1.53E-89	83.69								
[BLASTED]	Ahyacinthus02269-RA	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6-like	1182	10	0	81.42								
[BLASTED]	Ahyacinthus02270-RA	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3-like	1206	10	0	83.59								
[BLASTED]	Ahyacinthus02272-RA	beta-glucuronidase-like isoform X1	1736	10	0	83.07								
[BLASTED]	Ahyacinthus02273-RA	mediator of RNA polymerase II transcription subunit 13-like isoform X1	5810	10	0	77.73								
[BLASTED]	Ahyacinthus02275-RA	uncharacterized protein LOC114952769 isoform X1	3087	10	0	69.7								
[BLASTED]	Ahyacinthus02271-RA	beta-glucuronidase-like isoform X1	2124	10	0	84.65								
[BLASTED]	Ahyacinthus02274-RA	dimethylaniline monooxygenase [N-oxide-forming] 2-like	1596	10	0	82.39								
[BLASTED]	Ahyacinthus02280-RA	DNA repair protein RAD51 homolog 3-like isoform X1	1281	10	0	82.23								
[BLASTED]	Ahyacinthus02281-RA	protein phosphatase PTC7 homolog	924	10	0	86.35								
[BLASTED]	Ahyacinthus02283-RA	protein LIAT1-like	345	2	7.46E-24	81.03								
[BLASTED]	Ahyacinthus02276-RA	tRNA (uracil-5-)-methyltransferase homolog A-like	710	10	4.05E-139	79.74								
[BLASTED]	Ahyacinthus02279-RA	UPF0390 protein zgc136864-like	341	7	1.39E-16	85.54								
[BLASTED]	Ahyacinthus02282-RA	rabphilin-3A-like isoform X2	2043	10	0	76.69								
[BLASTED]	Ahyacinthus02278-RA	uncharacterized protein LOC114952760	668	6	4.51E-112	62.97								
[BLASTED]	Ahyacinthus02285-RA	CD2 antigen cytoplasmic tail-binding protein 2-like	1044	10	0	81.08								
[BLASTED]	Ahyacinthus02287-RA	visual pigment-like receptor peropsin	1145	10	0	75.74								
[BLASTED]	Ahyacinthus02289-RA	solute carrier family 13 member 5-like	1805	10	0	74.03								
[BLASTED]	Ahyacinthus02290-RA	synaptic vesicle 2-related protein-like isoform X2	1281	10	0	59.31								
